Цитата;Автор;Контекст (До);Контекст (После)
сии страсти ничем так не погашаются, как состраданием.;Авва Дорофей;Поверьте, что кто разумно служит больным, тот освобождается и от страстей, и от браней. Я знаю брата, который терпел брань от нечистых помыслов, и освободился от нее тем, что разумно служил больному, страдавшему водяною болезнью.;Также, если кто постится или по тщеславию, или думая в себе, что он совершает добродетель, таковой постится неразумно, и потому начинает после укорять брата своего, почитая себя чем-то великим, и оказывается, что он не только положил один камень и снял два, но и находится в опасности разрушить всю стену чрез осуждение ближнего. А кто разумно постится, тот не думает, что он совершает добродетель, и не хочет, чтобы его хвалили, как постника, но думает, что чрез воздержание приобретет целомудрие, а посредством сего придет в смирение, как говорят Отцы: «Путь к смирению суть труды телесные, совершаемые разумно» и проч.
не только положил один камень и снял два, но и находится в опасности разрушить всю стену чрез осуждение ближнего.;Авва Дорофей;Я знаю брата, который терпел брань от нечистых помыслов, и освободился от нее тем, что разумно служил больному, страдавшему водяною болезнью. И Евагрий говорит о некоем великом Старце, что он одного из братий, смущаемого ночными мечтаниями, освободил от таковых мечтаний, повелев ему поститься и служить больным: и вопрошаемый о сем говорил, что сии страсти ничем так не погашаются, как состраданием.;А кто разумно постится, тот не думает, что он совершает добродетель, и не хочет, чтобы его хвалили, как постника, но думает, что чрез воздержание приобретет целомудрие, а посредством сего придет в смирение, как говорят Отцы: «Путь к смирению суть труды телесные, совершаемые разумно» и проч. И, одним словом, каждую добродетель человек должен совершать так разумно, чтобы усвоить ее себе и обратить в навык, и (таковой) оказывается, как мы сказали, искусным художником, зодчим, могущим прочно строить свой дом.
Путь к смирению суть труды телесные, совершаемые разумно;Авва Дорофей;И Евагрий говорит о некоем великом Старце, что он одного из братий, смущаемого ночными мечтаниями, освободил от таковых мечтаний, повелев ему поститься и служить больным: и вопрошаемый о сем говорил, что сии страсти ничем так не погашаются, как состраданием. Также, если кто постится или по тщеславию, или думая в себе, что он совершает добродетель, таковой постится неразумно, и потому начинает после укорять брата своего, почитая себя чем-то великим, и оказывается, что он не только положил один камень и снял два, но и находится в опасности разрушить всю стену чрез осуждение ближнего.;И, одним словом, каждую добродетель человек должен совершать так разумно, чтобы усвоить ее себе и обратить в навык, и (таковой) оказывается, как мы сказали, искусным художником, зодчим, могущим прочно строить свой дом.
каждую добродетель человек должен совершать так разумно, чтобы усвоить ее себе и обратить в навык;Авва Дорофей;Также, если кто постится или по тщеславию, или думая в себе, что он совершает добродетель, таковой постится неразумно, и потому начинает после укорять брата своего, почитая себя чем-то великим, и оказывается, что он не только положил один камень и снял два, но и находится в опасности разрушить всю стену чрез осуждение ближнего. А кто разумно постится, тот не думает, что он совершает добродетель, и не хочет, чтобы его хвалили, как постника, но думает, что чрез воздержание приобретет целомудрие, а посредством сего придет в смирение, как говорят Отцы: «Путь к смирению суть труды телесные, совершаемые разумно» и проч.;
искусным художником, зодчим, могущим прочно строить свой дом.;Авва Дорофей;Также, если кто постится или по тщеславию, или думая в себе, что он совершает добродетель, таковой постится неразумно, и потому начинает после укорять брата своего, почитая себя чем-то великим, и оказывается, что он не только положил один камень и снял два, но и находится в опасности разрушить всю стену чрез осуждение ближнего. А кто разумно постится, тот не думает, что он совершает добродетель, и не хочет, чтобы его хвалили, как постника, но думает, что чрез воздержание приобретет целомудрие, а посредством сего придет в смирение, как говорят Отцы: «Путь к смирению суть труды телесные, совершаемые разумно» и проч.;
кто так говорит, тот или не уповает на помощь Божию, или ленится посвятить себя чему-либо доброму.;Авва Дорофей;А кто разумно постится, тот не думает, что он совершает добродетель, и не хочет, чтобы его хвалили, как постника, но думает, что чрез воздержание приобретет целомудрие, а посредством сего придет в смирение, как говорят Отцы: «Путь к смирению суть труды телесные, совершаемые разумно» и проч. И, одним словом, каждую добродетель человек должен совершать так разумно, чтобы усвоить ее себе и обратить в навык, и (таковой) оказывается, как мы сказали, искусным художником, зодчим, могущим прочно строить свой дом.;Назовите какую хотите добродетель, мы рассмотрим ее, и вы увидите, что от нас зависит исполнить ее, если хотим. Так Писание говорить: возлюбиши ближняго своего яко сам себе (Левит. 19, 18, Матф. 5, 43).
от нас зависит исполнить ее, если хотим.;Авва Дорофей;И, одним словом, каждую добродетель человек должен совершать так разумно, чтобы усвоить ее себе и обратить в навык, и (таковой) оказывается, как мы сказали, искусным художником, зодчим, могущим прочно строить свой дом. Итак, желающий с помощию Божией достигнуть такого благого устроения не должен говорить, что добродетели велики, и он не может достигнуть их, ибо кто так говорит, тот или не уповает на помощь Божию, или ленится посвятить себя чему-либо доброму.;Так Писание говорить: возлюбиши ближняго своего яко сам себе (Левит. 19, 18, Матф. 5, 43). Не обращай внимания на то, как далеко ты отстоишь от сей добродетели, чтобы не начать ужасаться и говорить: «Как могу я возлюбить ближнего, как самого себя?
положи только начало с верою в Бога, покажи Ему твое произволение и старание, и увидишь помощь, которую Он подаст тебе для совершения добродетели.;Авва Дорофей;Не обращай внимания на то, как далеко ты отстоишь от сей добродетели, чтобы не начать ужасаться и говорить: «Как могу я возлюбить ближнего, как самого себя? Могу ли заботиться о его скорбях, как о своих собственных, и особенно сокрытых в сердце его, которых не вижу и не знаю, подобно своим?;Представь себе две лестницы: одна возводит вверх на небо, другая низводит в ад, а ты стоишь на земле посреди обеих лестниц. Не думай же и не говори: «Как могу я возлететь от земли и очутиться вдруг на высоте неба, то есть наверху лестницы».
Представь себе две лестницы: одна возводит вверх на небо, другая низводит в ад, а ты стоишь на земле посреди обеих лестниц.;Авва Дорофей;Могу ли заботиться о его скорбях, как о своих собственных, и особенно сокрытых в сердце его, которых не вижу и не знаю, подобно своим? » Не увлекайся такими размышлениями и не думай, чтобы добродетель превышала твои силы и была неудобоисполнима, но положи только начало с верою в Бога, покажи Ему твое произволение и старание, и увидишь помощь, которую Он подаст тебе для совершения добродетели.;Не думай же и не говори: «Как могу я возлететь от земли и очутиться вдруг на высоте неба, то есть наверху лестницы». Это невозможно, да и Бог не требует сего от тебя, но берегись, по крайней мере, чтобы не сойти вниз.
Это невозможно, да и Бог не требует сего от тебя, но берегись, по крайней мере, чтобы не сойти вниз.;Авва Дорофей;Представь себе две лестницы: одна возводит вверх на небо, другая низводит в ад, а ты стоишь на земле посреди обеих лестниц. Не думай же и не говори: «Как могу я возлететь от земли и очутиться вдруг на высоте неба, то есть наверху лестницы».;Не делай зла ближнему, не огорчай его, не клевещи, не злословь, не уничижай, не укоряй, и таким образом начнешь после, мало-помалу, и добро делать брату своему, утешая его словами, сострадая ему или давая ему то, в чем он нуждается: и так, поднимаясь с одной ступени на другую, достигнешь с помощью Божией и верха лестницы. Ибо, мало-помалу помогая ближнему, ты дойдешь до того, что станешь желать и пользы его, как своей собственной, и его успеха, как своего собственного.
Не делай зла ближнему, не огорчай его, не клевещи, не злословь, не уничижай, не укоряй;Авва Дорофей;Не думай же и не говори: «Как могу я возлететь от земли и очутиться вдруг на высоте неба, то есть наверху лестницы». Это невозможно, да и Бог не требует сего от тебя, но берегись, по крайней мере, чтобы не сойти вниз.;Ибо, мало-помалу помогая ближнему, ты дойдешь до того, что станешь желать и пользы его, как своей собственной, и его успеха, как своего собственного. Сие и значит возлюбить ближнего своего, как самого себя.
поднимаясь с одной ступени на другую, достигнешь с помощью Божией и верха лестницы.;Авва Дорофей;Не думай же и не говори: «Как могу я возлететь от земли и очутиться вдруг на высоте неба, то есть наверху лестницы». Это невозможно, да и Бог не требует сего от тебя, но берегись, по крайней мере, чтобы не сойти вниз.;Ибо, мало-помалу помогая ближнему, ты дойдешь до того, что станешь желать и пользы его, как своей собственной, и его успеха, как своего собственного. Сие и значит возлюбить ближнего своего, как самого себя.
раб не добровольно исполняет волю господина своего, но боясь быть наказанным;Авва Дорофей;Итак, что же должен тебе Бог? Он отдал тебе плату, за которую ты делал.;Другой подает милостыню для того, чтобы получить награду: сие выше первого, но и этот не таков, как хочет Бог, ибо он еще не находится в состоянии сына, но, как наемник, исполняет волю господина своего, чтобы получить от него плату и прибыль, также и сей подает (милостыню) для того, чтобы приобрести и получить награду от Бога. Ибо тремя образами, как говорит Василий Великий, можем мы делать доброе, как я и прежде упоминал вам, или делаем доброе, боясь мучений, и тогда мы находимся в степени раба, или для того, чтобы получить награду, и тогда мы находимся в степени наемника, или делаем добро ради самого добра, и тогда находимся на степени сына, ибо сын исполняет волю отца не из страха и не потому, что хочет получить от него награду, но желая угодить ему, почтить и успокоить его.
делаем добро ради самого добра, и тогда находимся на степени сына;Авва Дорофей;Иной подает милостыню для того, чтобы избавиться от будущего мучения: этот подает ее для (пользы) души своей, этот подает ради Бога, однако же и он не таков, как хочет Бог, ибо он еще находится в состоянии раба, а раб не добровольно исполняет волю господина своего, но боясь быть наказанным: также и сей подает милостыню для того, чтобы избавиться от мучения, и Бог избавляет его от оного. Другой подает милостыню для того, чтобы получить награду: сие выше первого, но и этот не таков, как хочет Бог, ибо он еще не находится в состоянии сына, но, как наемник, исполняет волю господина своего, чтобы получить от него плату и прибыль, также и сей подает (милостыню) для того, чтобы приобрести и получить награду от Бога.;Так и мы должны подавать милостыню ради самого добра, сострадая друг другу, как своим членам, и так угождать другим, как бы мы сами принимали от них услуги, подавать так, как будто бы мы сами получаем, и вот сие-то есть разумная милостыня, так приходим мы в степень сына, как мы выше сказали. Никто не может сказать: «Я нищ, и мне не из чего подавать милостыню», ибо если ты не можешь дать столько, сколько оные богачи, влагавшие дары свои в сокровищницу, то дай две лепты, подобно оной убогой вдовице и Бог примет это от тебя лучше, чем дары оных богатых (Марк. 12, 42, Лук. 21, 2).
сын исполняет волю отца не из страха и не потому, что хочет получить от него награду, но желая угодить ему, почтить и успокоить его.;Авва Дорофей;Иной подает милостыню для того, чтобы избавиться от будущего мучения: этот подает ее для (пользы) души своей, этот подает ради Бога, однако же и он не таков, как хочет Бог, ибо он еще находится в состоянии раба, а раб не добровольно исполняет волю господина своего, но боясь быть наказанным: также и сей подает милостыню для того, чтобы избавиться от мучения, и Бог избавляет его от оного. Другой подает милостыню для того, чтобы получить награду: сие выше первого, но и этот не таков, как хочет Бог, ибо он еще не находится в состоянии сына, но, как наемник, исполняет волю господина своего, чтобы получить от него плату и прибыль, также и сей подает (милостыню) для того, чтобы приобрести и получить награду от Бога.;Так и мы должны подавать милостыню ради самого добра, сострадая друг другу, как своим членам, и так угождать другим, как бы мы сами принимали от них услуги, подавать так, как будто бы мы сами получаем, и вот сие-то есть разумная милостыня, так приходим мы в степень сына, как мы выше сказали. Никто не может сказать: «Я нищ, и мне не из чего подавать милостыню», ибо если ты не можешь дать столько, сколько оные богачи, влагавшие дары свои в сокровищницу, то дай две лепты, подобно оной убогой вдовице и Бог примет это от тебя лучше, чем дары оных богатых (Марк. 12, 42, Лук. 21, 2).
подавать так, как будто бы мы сами получаем, и вот сие-то есть разумная милостыня;Авва Дорофей;Другой подает милостыню для того, чтобы получить награду: сие выше первого, но и этот не таков, как хочет Бог, ибо он еще не находится в состоянии сына, но, как наемник, исполняет волю господина своего, чтобы получить от него плату и прибыль, также и сей подает (милостыню) для того, чтобы приобрести и получить награду от Бога. Ибо тремя образами, как говорит Василий Великий, можем мы делать доброе, как я и прежде упоминал вам, или делаем доброе, боясь мучений, и тогда мы находимся в степени раба, или для того, чтобы получить награду, и тогда мы находимся в степени наемника, или делаем добро ради самого добра, и тогда находимся на степени сына, ибо сын исполняет волю отца не из страха и не потому, что хочет получить от него награду, но желая угодить ему, почтить и успокоить его.;Никто не может сказать: «Я нищ, и мне не из чего подавать милостыню», ибо если ты не можешь дать столько, сколько оные богачи, влагавшие дары свои в сокровищницу, то дай две лепты, подобно оной убогой вдовице и Бог примет это от тебя лучше, чем дары оных богатых (Марк. 12, 42, Лук. 21, 2). Если и того не имеешь, имеешь силу и можешь служением оказать милость немощному брату.
Никто не может сказать: «Я нищ, и мне не из чего подавать милостыню»;Авва Дорофей;Ибо тремя образами, как говорит Василий Великий, можем мы делать доброе, как я и прежде упоминал вам, или делаем доброе, боясь мучений, и тогда мы находимся в степени раба, или для того, чтобы получить награду, и тогда мы находимся в степени наемника, или делаем добро ради самого добра, и тогда находимся на степени сына, ибо сын исполняет волю отца не из страха и не потому, что хочет получить от него награду, но желая угодить ему, почтить и успокоить его. Так и мы должны подавать милостыню ради самого добра, сострадая друг другу, как своим членам, и так угождать другим, как бы мы сами принимали от них услуги, подавать так, как будто бы мы сами получаем, и вот сие-то есть разумная милостыня, так приходим мы в степень сына, как мы выше сказали.;Если и того не имеешь, имеешь силу и можешь служением оказать милость немощному брату. Не можешь и того?
Можешь словом утешить брата своего, итак, окажи ему милосердие словом, и услышишь сказанное: слово паче даяния блага;Авва Дорофей;Если и того не имеешь, имеешь силу и можешь служением оказать милость немощному брату. Не можешь и того?;Если же и словом не можешь помочь ему, то можешь, когда огорчится на тебя брат твой, оказать ему милость и потерпеть ему во время его смущения, видя его искушаемым от общего врага, и вместо того, чтобы сказать ему одно слово, и тем более смутить его, (ты можешь) промолчать, сим окажешь ему милость, избавляя душу его от врага. Можешь также, когда согрешит перед тобою брат твой, помиловать его и простить ему грех его, чтобы и ты получил прощение от Бога, ибо сказано: отпущайте и отпустят вам (Лук. 6, 37), и так ты окажешь милость душе брата своего, прощая его, в чем он согрешил против тебя, ибо Бог дал нам власть, если хотим, прощать друг другу согрешения, между нами случающиеся.
И потому никто не может сказать: «Я не могу оказать милости»;Авва Дорофей;А какая милость более той, чтобы помиловать душу? И как душа драгоценнее тела, так и милость, оказанная душе, больше оказанной телу.;Ибо мы сказали, что кто оныя совершает разумно, тот искусный художник, прочно созидающий дом свой. О сем и Евангелие говорит (Матф. 7, 24), что мудрый созидает храмину свою на камне и никакое противодействие не может поколебать ее.
кто оныя совершает разумно, тот искусный художник, прочно созидающий дом свой.;Авва Дорофей;И как душа драгоценнее тела, так и милость, оказанная душе, больше оказанной телу. И потому никто не может сказать: «Я не могу оказать милости», ибо каждый, по силе своей и по душевному устроению, может оказывать милость, пусть только каждый постарается то доброе, которое он делает, делать разумно, как мы упоминали выше, относительно каждой добродетели.;О сем и Евангелие говорит (Матф. 7, 24), что мудрый созидает храмину свою на камне и никакое противодействие не может поколебать ее. Бог человеколюбец да подаст нам слышать и исполнять то, что слышим, чтобы слова сии не послужили нам на осуждение в день суда.
мудрый созидает храмину свою на камне и никакое противодействие не может поколебать ее.;Авва Дорофей;И потому никто не может сказать: «Я не могу оказать милости», ибо каждый, по силе своей и по душевному устроению, может оказывать милость, пусть только каждый постарается то доброе, которое он делает, делать разумно, как мы упоминали выше, относительно каждой добродетели. Ибо мы сказали, что кто оныя совершает разумно, тот искусный художник, прочно созидающий дом свой.;Бог человеколюбец да подаст нам слышать и исполнять то, что слышим, чтобы слова сии не послужили нам на осуждение в день суда. Ибо Ему подобает слава во веки.
Бог человеколюбец да подаст нам слышать и исполнять то, что слышим, чтобы слова сии не послужили нам на осуждение в день суда.;Авва Дорофей;Ибо мы сказали, что кто оныя совершает разумно, тот искусный художник, прочно созидающий дом свой. О сем и Евангелие говорит (Матф. 7, 24), что мудрый созидает храмину свою на камне и никакое противодействие не может поколебать ее.;Ибо Ему подобает слава во веки. Аминь.
святые Апостолы установили и предали на помощь нам и как благодеяние душам нашим еще нечто большее и высочайшее;Авва Дорофей;О святой четыредесятнице В Законе написано, что Бог повелел сынам Израилевым каждый год давать десятину из всего, что они приобретали, и, делая так, они имели благословение во всех делах своих.;Рассудив так, они освятили нам из трехсот шестидесяти пяти дней года сии семь недель святой Четыредесятницы. Таким образом отделили они сии семь недель, но со временем Отцы заблагорассудили прибавить к ним и еще одну неделю: во-первых, для того, чтобы желающий вступить в подвиг поста в течении сей недели приучались и как бы приуготовлялись к оному, во-вторых, для того, чтобы почтить число дней поста Четыредесятницы, которую постился Господь наш Иисус Христос.
отделяли десятину от самых дней жизни нашей и посвящали ее Богу: дабы и мы таким образом получили благословение на все дела наши, и ежегодно очищали грехи, сделанные нами в течении целого года.;Авва Дорофей;О святой четыредесятнице В Законе написано, что Бог повелел сынам Израилевым каждый год давать десятину из всего, что они приобретали, и, делая так, они имели благословение во всех делах своих.;Рассудив так, они освятили нам из трехсот шестидесяти пяти дней года сии семь недель святой Четыредесятницы. Таким образом отделили они сии семь недель, но со временем Отцы заблагорассудили прибавить к ним и еще одну неделю: во-первых, для того, чтобы желающий вступить в подвиг поста в течении сей недели приучались и как бы приуготовлялись к оному, во-вторых, для того, чтобы почтить число дней поста Четыредесятницы, которую постился Господь наш Иисус Христос.
для того, чтобы желающий вступить в подвиг поста в течении сей недели приучались и как бы приуготовлялись к оному;Авва Дорофей;Зная сие, святые Апостолы установили и предали на помощь нам и как благодеяние душам нашим еще нечто большее и высочайшее, — чтобы мы отделяли десятину от самых дней жизни нашей и посвящали ее Богу: дабы и мы таким образом получили благословение на все дела наши, и ежегодно очищали грехи, сделанные нами в течении целого года. Рассудив так, они освятили нам из трехсот шестидесяти пяти дней года сии семь недель святой Четыредесятницы.;Ибо, отняв от осьми недель субботы и воскресенья, получаем сорок дней, а пост святой субботы почитается особенным, потому что она есть священнейшая и единственная постная из всех суббот года. А семь недель без суббот и воскресных дней составляют тридцать пять дней, потом, приложив пост святой Великой субботы и половину Светлой и светоносной ночи, получаем тридцать шесть дней с половиною, что и составляет во всей точности десятую часть трехсот шестидесяти пяти дней года.
десятина всего лета, которую, как я сказал, освятили нам святые Апостолы, для покаяния и очищения грехов всего года.;Авва Дорофей;А семь недель без суббот и воскресных дней составляют тридцать пять дней, потом, приложив пост святой Великой субботы и половину Светлой и светоносной ночи, получаем тридцать шесть дней с половиною, что и составляет во всей точности десятую часть трехсот шестидесяти пяти дней года. Ибо десятая доля трехсот есть тридцать, десятая доля шестидесяти есть шесть, а десятую долю пяти составляет половина (Светлого дня).;
Тогда душа его освободится от тяготы, и таким образом он очищенным достигнет святого дня Воскресения, и неосужденно причастится святых Таин, сделавшись чрез покаяние в сей святый пост новым человеком.;Авва Дорофей;Итак, блажен, братия, кто хорошо и как должно сохранит себя в сии святые дни. Ибо хотя и случится ему как человеку согрешить по немощи, или по нерадению, но вот Бог дал сии святые дни для того, чтобы, если кто постарается со вниманием и смиренномудрием позаботиться о себе и покаяться во грехах своих, — он очистился от грехов, которые сделал в продолжение всего года.;Таковой в радости и веселии духовном при помощи Божией, будет праздновать всю святую Пятидесятницу: ибо Пятидесятница, как говорят Отцы, есть покой и воскресение души, сие и означается тем, что мы во всю святую Пятидесятницу не преклоняем колен. Итак, каждый желающий в сии дни очиститься от грехов, сделанных им в течении целого года, прежде всего должен удерживаться от множества яств, ибо безмерие пищи, как говорят Отцы, рождает для человека всякое зло.
Пятидесятница, как говорят Отцы, есть покой и воскресение души;Авва Дорофей;Ибо хотя и случится ему как человеку согрешить по немощи, или по нерадению, но вот Бог дал сии святые дни для того, чтобы, если кто постарается со вниманием и смиренномудрием позаботиться о себе и покаяться во грехах своих, — он очистился от грехов, которые сделал в продолжение всего года. Тогда душа его освободится от тяготы, и таким образом он очищенным достигнет святого дня Воскресения, и неосужденно причастится святых Таин, сделавшись чрез покаяние в сей святый пост новым человеком.;Итак, каждый желающий в сии дни очиститься от грехов, сделанных им в течении целого года, прежде всего должен удерживаться от множества яств, ибо безмерие пищи, как говорят Отцы, рождает для человека всякое зло. Потом он должен также остерегаться, чтобы не нарушать поста без великой нужды, чтобы не искать вкусной пищи и чтобы не отягощать себя множеством пищи или пития.
безмерие пищи, как говорят Отцы, рождает для человека всякое зло.;Авва Дорофей;Тогда душа его освободится от тяготы, и таким образом он очищенным достигнет святого дня Воскресения, и неосужденно причастится святых Таин, сделавшись чрез покаяние в сей святый пост новым человеком. Таковой в радости и веселии духовном при помощи Божией, будет праздновать всю святую Пятидесятницу: ибо Пятидесятница, как говорят Отцы, есть покой и воскресение души, сие и означается тем, что мы во всю святую Пятидесятницу не преклоняем колен.;Потом он должен также остерегаться, чтобы не нарушать поста без великой нужды, чтобы не искать вкусной пищи и чтобы не отягощать себя множеством пищи или пития. Ибо есть два вида чревоугодия.
Иного опять борет многоядение, и он не желает хороших снедей и не заботится о вкусе их, но хороши ли они или нет, он хочет только есть, и не разбирает, каковы они, он заботится только о том, чтобы наполнить чрево свое: это называется гастримаргия, то есть чревобесие.;Авва Дорофей;Первый, когда человек ищет приятности пищи, и не всегда хочет есть много, но желает вкусного, и случается, что таковой, когда вкушает яства, которые ему нравятся, до того побеждается их приятным вкусом, что удерживает снедь во рту, долго жует ее и по причине приятного вкуса не решается проглотить ее. Это называется по-гречески лемаргия — гортанобесие.;Скажу вам и происхождение сих названий. Маргенин (&#956,&#945,&#961,&#947,&#945,&#953,&#957,&#949,&#953,&#957,) — бесноваться, говорится еллинскими учеными о беснующемся, а маргос (&#956,&#945,&#961,&#947,&#959,&#962,) называется беснующийся.
